headword,pinyin_tone,pinyin_plain,definition
阿谀奉承,ēyúfèngchéng,eyufengcheng,阿谀用言语恭维别人；奉承恭维，讨好。曲从拍马，迎合别人，竭力向人讨好。
阿谀取容,ēyúqǔróng,eyuqurong,阿谀曲意逢迎；取容取悦于人。谄媚他人，以取得其喜悦。
哀哀父母,āiāifùmǔ,aiaifumu,可哀呀可哀，我的父母啊！原指古时在暴政下的人民终年在外服劳役，对父母病痛、老死不能照料而悲哀。
哀哀欲绝,āiāiyùjué,aiaiyujue,哀哀极度悲哀；绝断气，死。形容极其悲痛。
哀而不伤,āiérbùshāng,aierbushang,哀悲哀；伤伤害。忧愁而不悲伤，形容感情有节制；另形容诗歌、音乐优美雅致，感情适度。比喻做事没有过头也无不及。
哀感天地,āigǎntiāndì,aigantiandi,形容极其哀痛，使天地都为之感动。
哀感顽艳,āigǎnwányàn,aiganwanyan,顽愚顽。原意是指内容凄切，文辞华丽，使愚笨和聪慧的人同样受感动◇多用来指艳情的小说、戏曲、电影中的感人情节。
哀感中年,āigǎnzhōngnián,aiganzhongnian,形容人到中年对亲友离别的伤感情绪。
哀告宾服,āigàobīnfú,aigaobinfu,宾服古指诸侯或边远部落按时朝贡，表示依服、服从◇泛指归顺、服从。指哀求饶恕，愿意服从。
哀鸿遍地,āihóngbiàndì,aihongbiandi,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。
哀毁骨立,āihuǐgǔlì,aihuiguli,哀悲哀；毁损坏身体；骨立形容极瘦，只剩下骨架。旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。
哀毁瘠立,āihuǐjīlì,aihuijili,旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。
哀梨蒸食,āilízhēngshí,ailizhengshi,将哀梨蒸着吃。比喻不识货↓里糊涂地糟堂东西。
哀莫大于心死,āimòdàyúxīnsǐ,aimodayuxinsi,心死指心像死灰的灰烬。指最可悲哀的事，莫过于思想顽钝，麻木不仁。
哀声叹气,āishēngtànqì,aishengtanqi,因伤感郁闷或悲痛而发出叹息的声音。
哀丝豪竹,āisīháozhú,aisihaozhu,丝指弦乐器；竹指管乐器；豪竹粗大的竹管制成的乐器。形容管弦乐声的悲壮动人。
哀思如潮,āisīrúcháo,aisiruchao,哀伤的思绪如同潮涌一般。形容极度悲痛。
哀天叫地,āitiānjiàodì,aitianjiaodi,哀悲哀。悲哀地呼天喊地。形容悲痛至极。
哀痛欲绝,āitòngyùjué,aitongyujue,伤心得要死。形容悲痛到了极点。
挨冻受饿,áidòngshòuè,aidongshoue,指无衣无食的穷困境况。
挨风缉缝,āifēngjīfèng,aifengjifeng,比喻为了达到某种目的而找门路。
挨家挨户,āijiāihù,aijiaihu,每家每户，户户不漏。挨，依次，顺次。
挨肩并足,āijiānbìngzú,aijianbingzu,形容人群拥挤。
挨肩擦膀,āijiāncābǎng,aijiancabang,指身体相贴近。也形容人群拥挤。
挨肩擦背,āijiāncābèi,aijiancabei,肩挨肩，背擦背。形容人多拥挤。
挨肩擦脸,āijiāncāliǎn,aijiancalian,挨靠近。擦，接触。形容狎昵之状。
挨肩搭背,āijiāndābèi,aijiandabei,挨肩肩和肩相靠。搭背手搭在别人背上。形容极其亲昵的样子。
挨肩迭背,āijiāndiébèi,aijiandiebei,形容人群拥挤。
挨肩叠背,āijiāndiébèi,aijiandiebei,形容人群拥挤。
挨门挨户,āiménāihù,aimenaihu,挨按照顺序。按照住户的顺序一家也不漏。同挨门逐户”。
挨门逐户,āiménzhúhù,aimenzhuhu,挨家挨户，一家也没有漏掉。
挨三顶五,āisāndǐngwǔ,aisandingwu,形容人多，连接不断。
挨山塞海,āishānsèhǎi,aishansehai,形容人极多而拥挤不堪。
捱风缉缝,āifēngqīfèng,aifengqifeng,指多方钻营，找门路。
捱三顶四,āisāndǐngsì,aisandingsi,形容人群拥挤，接连不断。
捱三顶五,āisāndǐngwǔ,aisandingwu,形容人群拥挤，接连不断。
嗳声叹气,àishēngtànqì,aishengtanqi,因伤感、烦闷或痛苦而发出叹息的声音。
矮人观场,ǎirénguāncháng,airenguanchang,比喻只知道附和别人，自己没有主见。也比喻见识不广。
矮人看场,ǎirénkànchǎng,airenkanchang,比喻只知道附和别人，自己没有主见。也比喻见识不广。
矮人看戏,ǎirénkànxì,airenkanxi,比喻只知道附和别人，自己没有主见。也比喻见识不广。
矮子观场,ǎizǐguāncháng,aiziguanchang,比喻只知道附和别人，自己没有主见。也比喻见识不广。
矮子看戏,ǎizǐkànxì,aizikanxi,比喻只知道附和别人，自己没有主见。也比喻见识不广。
蔼然可亲,ǎiránkěqīn,airankeqin,蔼然对人和善的样子。形容态度和气，使人愿意接近。
蔼然仁者,ǎiránrénzhě,airanrenzhe,对人和善的有仁德的人。
爱别离苦,àibiélíkǔ,aibieliku,佛家语，指亲爱的人离别的痛苦。
爱博而情不专,àibóérqíngbùzhuān,aiboerqingbuzhuan,对人或事物的喜爱很广泛，而感情不能专一。
爱不忍释,àibùrěnshì,aiburenshi,释放下。对所喜欢的物品，爱得拿在手里久久不肯放下。
爱才如渴,àicáirúkě,aicairuke,才贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。
爱才如命,àicáirúmìng,aicairuming,才贤才，人才。爱慕贤才，急欲求得，就象生命一样重要。
爱才若渴,àicáiruòkě,aicairuoke,才贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。
爱富嫌贫,àifùxiánpín,aifuxianpin,嫌弃贫穷，喜爱富有。指对人的好恶以其贫富为准。
爱国如家,àiguórújiā,aiguorujia,指帝王像爱抚自己的家室一样爱国爱民。
爱鹤失众,àihèshīzhòng,aiheshizhong,比喻因小失大。
爱礼存羊,àilǐcúnyáng,ailicunyang,由于爱惜古礼，不忍使它废弛，因而保留古礼所需要的祭羊。比喻为维护根本而保留有关仪节。
爱毛反裘,àimáofǎnqiú,aimaofanqiu,反裘反穿皮衣，指皮毛朝里。古时穿皮毛衣服，毛的一面向外。比喻不重视根本，轻重倒置。
爱民如子,àimínrúzǐ,aiminruzi,旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样。
爱莫之助,àimòzhīzhù,aimozhizhu,爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。
爱钱如命,àiqiánrúmìng,aiqianruming,某些人贪爱钱财就像吝啬生命一样。形容十分贪婪、刻薄。
爱人好士,àirénhàoshì,airenhaoshi,爱护、重视人才。
爱人利物,àirénlìwù,airenliwu,爱护人民，力求有利于人民。
爱人以德,àirényǐdé,airenyide,爱人爱护别人；德德行。按照道德标准去爱护人。泛指对人不偏私偏爱，不姑息迁就。
爱日惜力,àirìxīlì,airixili,珍惜时间，不虚掷精力。
爱如己出,àirújǐchū,airujichu,像对待亲生子女那样地爱护。
爱如珍宝,àirúzhēnbǎo,airuzhenbao,形容十分喜欢。
爱生恶死,àishēngwùsǐ,aishengwusi,恶厌恶。喜爱生存，厌恶死亡。
爱素好古,àisùhàogǔ,aisuhaogu,指爱好朴质，不趋时尚。
爱则加诸膝，恶则坠诸渊,àizéjiāzhūxī，wùzézhuìzhūyuān,aizejiazhuxi，wuzezhuizhuyuan,加诸膝放在膝盖上；坠诸渊推进深渊里。意指不讲原则，感情用事，对别人的爱憎态度，全凭自己的好恶来决定。
爱憎分明,àizēngfēnmíng,aizengfenming,憎恨。爱和恨的立场和态度十分鲜明。
爱之欲其生,àizhīyùqíshēng,aizhiyuqisheng,指喜欢一个人时总想叫他活着。指极度地凭个人爱憎对待人。
爱之欲其生，恶之欲其死,àizhīyùqíshēng，wùzhī,aizhiyuqisheng，wuzhi,喜爱他时，总想叫他活着；讨厌他时，总想叫他死掉。指极度地凭个人爱憎对待人。
碍口识羞,àikǒushíxiū,aikoushixiu,碍口说不出口。指怕羞而不说话。
碍难从命,àináncóngmìng,ainancongming,碍妨碍；从听从。由于有所妨碍，难以遵从吩咐，是委婉拒绝对方要求的话。
碍足碍手,àizúàishǒu,aizuaishou,碍阻碍。妨碍别人做事。同碍手碍脚”。
暧昧不明,àimèibùmíng,aimeibuming,暧昧含糊，不清楚。指不清不楚，不明不白。形容态度不明朗，关系不鲜明。
暧昧之情,àimèizhīqíng,aimeizhiqing,行为不光明，内有不可告人的隐情。也指男女互相爱悦可能的私事。
安安稳稳,ānānwěnwěn,ananwenwen,形容十分安定稳当。
安邦治国,ānbāngzhìguó,anbangzhiguo,使国家安定太平。
安不忘危,ānbùwàngwēi,anbuwangwei,在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。
安常处顺,ānchángchǔshùn,anchangchushun,安习惯于；处居住，居于；顺适合，如意。习惯于平稳的日子，处于顺利的境遇中。
安常履顺,ānchánglǚshùn,anchanglvshun,习惯于平稳的日子，处于顺利的境遇中。同安常处顺”。
安常守分,ānchángshǒufèn,anchangshoufen,分本分，自己分内的。习惯于平稳的生活，安守本分。
安常守故,ānchángshǒugù,anchangshougu,习惯于日常的平稳生活，保守旧的一套。指守旧不知变革。
安常习故,ānchángxígù,anchangxigu,习习惯；故旧例。安于常规，习惯旧例。形容按照常规和老套办事，守旧而不思变革。
安车蒲轮,ānchēpúlún,anchepulun,让被征请者坐在安车上，并用蒲叶包着车轮，以便行驶时车身更为安稳。表示皇帝对贤能者的优待。
安堵乐业,āndǔlèyè,anduleye,安堵相安，安定。犹言安居乐业。
安堵如故,āndǔrúgù,andurugu,堵墙壁，居所。故原来的。像原来一样相安无事。
安分守已,ānfěnshǒujǐ,anfenshouji,规矩老实，守本分，不做违法的事。
安分知足,ānfènzhīzú,anfenzhizu,安于本分，对自己所得到的待遇知道满足。
安份守己,ānfènshǒujǐ,anfenshouji,规矩老实，守本分，不做违法的事。
安富恤贫,ānfùxùpín,anfuxupin,恤救济。使富有的人安定，贫穷的人得到救济。
安富恤穷,ānfùxùqióng,anfuxuqiong,安定富有者，振济贫苦者。指统治者治国安民之道。
安富尊荣,ānfùzūnróng,anfuzunrong,安安逸；富富有；尊尊贵；荣荣耀。安定富足，尊贵荣华。也指安于富裕安乐的生活。
安故重迁,āngùzhòngqiān,anguzhongqian,指安于旧俗，不轻易改变。
安国富民,ānguófùmín,anguofumin,使国家安定，使人民富裕。
安国宁家,ānguóníngjiā,anguoningjia,指治理国家。
安魂定魄,ānhúndìngpò,anhundingpo,魂、魄人的灵气、精神。指使人心安定。
安家乐业,ānjiālèyè,anjialeye,犹安居乐业。指安定愉快地生活和劳动。
安老怀少,ānlǎohuáishào,anlaohuaishao,安安顿；怀关怀。尊重老人，使其安逸；关怀年轻人，使其信服。
安良除暴,ānliángchúbào,anliangchubao,安抚善良的人，铲除强暴的人。
安眉带眼,ānméidàiyǎn,anmeidaiyan,长了眉毛，有了眼睛。意思是同样是一个人。
安内攘外,ānnèirǎngwài,anneirangwai,攘排除。原就药的疗效而言◇多指安定内部，排除外患。
安贫乐贱,ānpínlèjiàn,anpinlejian,安于贫贱，并以此为乐。
安贫守道,ānpínshǒudào,anpinshoudao,安于贫穷，恪守信仰。
安然如故,ānránrúgù,anranrugu,还象原来那样安安稳稳。
安然无事,ānránwúshì,anranwushi,犹言平安无事。
安忍无亲,ānrěnwúqīn,anrenwuqin,安忍习于残忍，不以为异。安心于做残忍的事情，因而无所谓亲人。
安如盘石,ānrúpánshí,anrupanshi,安安稳；盘石大石头。像盘石一样安稳不动。形容非常稳固，不可动摇。
安如太山,ānrútàishān,anrutaishan,形容极其平安稳固。泰，也写作太”。同安如泰山”。
安若泰山,ānruòtàishān,anruotaishan,形容极其平安稳固。同安如泰山”。
安身乐业,ānshēnlèyè,anshenleye,指安稳快乐地过日子。
安身为乐,ānshēnwéilè,anshenweile,身子安定就是快乐。
安身之处,ānshēnzhīchù,anshenzhichu,指得以立足容身的地方。
安身之地,ānshēnzhīdì,anshenzhidi,存身的地方。批在某地居住、生活，或以某地作为建业的根基。
安神定魄,ānshéndìngpò,anshendingpo,魄魂魄。安定心神，恢复神智。
安生服业,ānshēngfúyè,anshengfuye,指平稳地生活，安心地从事自己的生业。
安生乐业,ānshēnglèyè,anshengleye,犹安居乐业。指安定愉快地生活和劳动。
安时处顺,ānshíchǔshùn,anshichushun,安于常分，顺其自然。形容满足于现状。
安室利处,ānshìlìchù,anshilichu,指安全便利的处所。
安适如常,ānshìrúcháng,anshiruchang,安静而舒适，象往常一样。指经过某种变动后，恢复了正常，使人感到舒适。
安土乐业,āntǔlèyè,antuleye,安居本土，愉快地从事自己的职业。
安土重旧,āntǔzhòngjiù,antuzhongjiu,指留恋故土，不轻易改变旧俗。
安土重居,āntǔzhòngjū,antuzhongju,犹安土重迁。指留恋故乡，不愿轻易迁居异地。
安危相易,ānwēixiāngyì,anweixiangyi,易变易，转变。平安与危难互为因果，相互转换。
安危与共,ānwēiyǔgòng,anweiyugong,共同享受安乐，共同承担危难。形容关系密切，利害相连。
安闲自得,ānxiánzìdé,anxianzide,自得自己感到舒适。安静清闲，感到非常舒适。
安闲自在,ānxiánzìzài,anxianzizai,安静清闲，自由自在。形容清闲无事。
安心定志,ānxīndìngzhì,anxindingzhi,指安下心来。
安心乐业,ānxīnlèyè,anxinleye,指心绪安定，生活愉快。
安心乐意,ānxīnlèyì,anxinleyi,原指心情安宁，情绪愉快◇多指内心情愿，十分愉快。
安心落意,ānxīnluòyì,anxinluoyi,放心，无忧虑。
安营下寨,ānyíngxiàzhài,anyingxiazhai,安、下建立，安置；寨防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。
安于故俗，溺于旧闻,ānyúgùsú，nìyújiùwén,anyugusu，niyujiuwen,俗习俗。溺沉溺，陷入。拘守于老习惯，局限于旧见闻。形容因循守旧，安于现状。
安于盘石,ānyúpánshí,anyupanshi,象盘石一样安然不动。形容安定稳固。
安于现状,ānyúxiànzhuàng,anyuxianzhuang,对目前的情况习惯了，不愿改变。
安于一隅,ānyùyīyù,anyuyiyu,隅角落。安心在某一个角落。形容苟安一角，不求进取。
安宅正路,ānzháizhènglù,anzhaizhenglu,比喻仁义。指以仁居心，以义行事。
安枕而卧,ānzhěnérwò,anzhenerwo,放好枕头睡大觉。比喻太平无事，不必担忧。
安之若命,ānzhīruòmìng,anzhiruoming,指人遭受的不幸看作命中注定，因而甘心承受。
安坐待毙,ānzuòdàibì,anzuodaibi,坐着等死。指不积极想办法，坐等灭亡。
鞍不离马，甲不离身,ānbùlímǎ，jiǎbùlíshēn,anbulima，jiabulishen,甲铠甲，古人打仗时穿的护身衣。马不卸鞍，人不解甲。处于高度警惕状态。
鞍不离马背，甲不离将身,ānbùlímǎbèi，jiǎbùlíjiàngshēn,anbulimabei，jiabulijiangshen,甲铠甲。马不卸鞍，人不解甲。处于高度警惕状态。
鞍马劳倦,ānmǎláojuàn,anmalaojuan,指长途跋涉或战斗中备尝困乏。
鞍马劳困,ānmǎláokùn,anmalaokun,指长途跋涉或战斗中备尝困乏。
鞍马劳神,ānmǎláoshén,anmalaoshen,形容旅途劳累。同鞍马劳顿”。
鞍马之劳,ānmǎzhīláo,anmazhilao,鞍马鞍子和马，指长途跋涉或打仗。形容旅途或战斗的劳苦。
岸谷之变,àngǔzhībìan,anguzhibian,比喻政治上的重大变化。
岸然道貌,ànrándàomào,anrandaomao,指严肃的神态。
按兵不举,ànbīngbùjǔ,anbingbuju,犹按兵不动。
按兵束甲,ànbīngshùjiǎ,anbingshujia,按兵军队停止行进。甲铠甲，泛指武器装备。止兵不前，捆起铠甲。指解除武装，停战言降。
按步就班,ànbùjiùbān,anbujiuban,指按照条理或遵循一定的程序。参见按部就班”。
按堵如故,àndǔrúgù,andurugu,形容秩序良好，百姓和原来一样安居乐业。
按甲寝兵,ànjiǎqǐnbīng,anjiaqinbing,收拾起铠甲武器。比喻停止军事行动。
按甲休兵,ànjiǎxiūbīng,anjiaxiubing,收拾起铠甲武器。比喻停止军事行动。
按名责实,ànmíngzéshí,anmingzeshi,按照事物名称，要求与实相符。
按捺不住,ànnàbùzhù,annabuzhu,按捺压抑，忍耐。心里急燥，克制不住。
按辔徐行,ànpèixúxíng,anpeixuxing,辔马缰绳。轻轻按着缰绳，让马慢慢地走。
按图索骏,àntúsuǒjùn,antusuojun,指按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。参见按图索骥”。
按行自抑,ànxíngzìyì,anxingziyi,按克制。约束自己的行为。
案兵束甲,ànbīngshùjiǎ,anbingshujia,放下兵器，捆束铠甲。指停止作战。
案牍劳形,àndúláoxíng,andulaoxing,案牍公文。文书劳累身体。形容公事繁忙。
案牍之劳,àndúzhīláo,anduzhilao,案牍公文。办理公文的劳累。
案甲休兵,ànjiǎxiūbīng,anjiaxiubing,指停止战事，休养士卒。
案剑瞋目,ànjiànchēnmù,anjianchenmu,案同按”，握住；瞋瞪眼。握住宝剑，瞪大双眼。
案无留牍,ànwúliúdú,anwuliudu,桌案上没有积压的公文。形容办理公务干练、及时。
暗锤打人,ànchuídǎrén,anchuidaren,比喻暗中对人进行攻击。
暗淡无光,àndànwúguāng,andanwuguang,暗淡不明亮，昏暗。形容失去光彩。
暗斗明争,àndòumíngzhēng,andoumingzheng,暗里明里都在进行斗争。常形容尽力争权夺利。
暗度金针,àndùjīnzhēn,andujinzhen,度通渡”，过渡，引申为传授◇用于比喻秘诀。又借指幕后交易。
暗渡陈仓,àndùchéncāng,anduchencang,渡越过；陈仓古县名，在今陕西省宝鸡市东。比喻用造假象的手段来达到某种目的。也隐喻男女私通。
暗箭明枪,ànjiànmíngqiāng,anjianmingqiang,比喻各种公开的攻击和暗地里的中伤。
暗箭难防,ànjiànnánfáng,anjiannanfang,冷箭最难防范。比喻阴谋诡计难以预防。
暗箭伤人,ànjiànshāngrén,anjianshangren,放冷箭伤害人。比喻暗地里用某种手段伤害人。
暗箭中人,ànjiànzhòngrén,anjianzhongren,暗暗中；箭放箭；中中伤。放冷箭伤害人。比喻暗中用阴险的手段攻击或陷害别人。
暗绿稀红,ànlǜxīhóng,anlvxihong,犹言绿肥红瘦。形容叶盛花稀的暮春景象。
暗昧之事,ànmèizhīshì,anmeizhishi,指见不得人的丑事。
暗气暗恼,ànqìànnǎo,anqiannao,受了气闷在心里。
暗弱无断,ànruòwúduàn,anruowuduan,愚昧软弱，没有决断。
暗室不欺,ànshìbùqī,anshibuqi,在没有人看见的地方，也不做见不得人的事。
暗室逢灯,ànshìféngdēng,anshifengdeng,比喻在危难或困惑中，忽然遇人援救或指点引导。
暗室亏心,ànshìkuīxīn,anshikuixin,在暗中做见不得人的亏心事。
暗室欺心,ànshìqīxīn,anshiqixin,在黑暗的屋子里昧着良心做坏事。指偷偷地做坏事。
暗室求物,ànshìqiúwù,anshiqiuwu,在没有光亮的房间寻找东西。比喻读书不得要领，难见成效。
暗室私心,ànshìsīxīn,anshisixin,指在暗中做见不得人的亏心事。同暗室亏心”。
暗室屋漏,ànshìwūlòu,anshiwulou,指别人看不见的地方；隐私之室。
暗香疏影,ànxiāngshūyǐng,anxiangshuying,暗香清幽的香气；疏影稀疏的枝影。原形容梅花的香味和姿态，后被用为梅花的代称。
暗中摸索,ànzhōngmōsuǒ,anzhongmosuo,摸索寻求，探索。在黑暗中寻找◇比喻没有人指导，独自钻研。
黯淡无光,àndànwúguāng,andanwuguang,黯淡同暗淡”，不明亮，昏暗。形容失去光彩。
黯晦消沉,ànhuìxiāochén,anhuixiaochen,指湮没消失。
黯然伤神,ànránshāngshén,anranshangshen,沮丧的样子。情绪低沉，心神忧伤。
黯然失色,ànránshīsè,anranshise,黯然心里不舒服、情绪低落的样子；失色因惊恐而变以脸色。本指心怀不好，脸色难看◇多比喻相形之下很有差距，远远不如。
黯然无色,ànránwúsè,anranwuse,指事物失去原有光彩，变得暗淡无光。
黯然销魂,ànránxiāohún,anranxiaohun,黯然心怀沮丧、面色难看的样子；销魂灵魂离开肉体。心怀沮丧得好象丢了魂似的。形容非常悲伤或愁苦。
昂昂自若,ángángzìroò,angangziroo,昂昂气概昂扬，大模大样；自若象平常一样。形容无所顾虑，从容自如。
昂藏七尺,ángzàngqīchǐ,angzangqichi,昂藏登记表雄伟、气度不凡的样子；七尺七尺高的身躯。指轩昂伟岸的男子汉。
昂然直入,ángránzhírù,angranzhiru,昂首挺胸地径直走进去。形容傲然威武的样子。
昂然自得,ángránzìdé,angranzide,自得自己感到舒适。指大模大样，满不在乎的样子。
昂然自若,ángránzìruò,angranziruo,形容气宇轩昂满不在乎的样子。
昂首伸眉,ángshǒushēnméi,angshoushenmei,伸扬。抬头扬眉。形容意气昂扬的样子。
昂首天外,ángshǒutiānwài,angshoutianwai,抬起头望着天边。形容态度傲慢，或做事脱离实际。
昂首挺胸,ángshǒutǐngxiōng,angshoutingxiong,抬起头，挺起胸膛。形容斗志高，士气旺。
昂首望天,ángshǒuwàngtiān,angshouwangtian,仰起头，望着天。喻指眼光向上，作风浮泛，不肯放下架子、深入基层。
昂头阔步,ángtóukuòbù,angtoukuobu,昂仰，高抬。抬起头迈开大步向前。形容精神备发或态度傲慢。参见昂首阔步”。
昂头天外,ángtóutiānwài,angtoutianwai,昂抬起。抬起头望着天边。形容态度傲慢或做事脱离实际。
昂头挺胸,ángtóutǐngxiōng,angtoutingxiong,抬起头，挺起胸膛。形容斗志高，士气旺。参见昂首挺胸”。
昂霄耸壑,ángxiāosǒnghè,angxiaosonghe,昂高；壑峪。高出霄汉，耸立山壑。形容才能杰出，建树宏大功业。也形容志气高昂，胸怀广阔。
盎盂相击,àngyúxiāngjī,angyuxiangji,比喻一家人争吵。
盎盂相敲,àngyúxiāngqiāo,angyuxiangqiao,比喻一家人争吵。
敖不可长,àobùkězhǎng,aobukezhang,敖通傲”，傲慢。傲慢之心不可以滋长。
敖世轻物,áoshìqīngwù,aoshiqingwu,敖，通傲”。鄙弃世俗，看不起别人。也指高傲自大。
遨翔自得,áoxiángzìdé,aoxiangzide,指自由自在的样子。
熬肠刮肚,áochángguādù,aochangguadu,指从事饮食方面尽力节俭。
熬更守夜,áogēngshǒuyè,aogengshouye,指熬夜。
熬姜呷醋,áojiāngxiācù,aojiangxiacu,比喻生活清苦。
熬枯受淡,áokūshòudàn,aokushoudan,指忍受清苦的生活。
熬清守淡,áoqīngshǒudàn,aoqingshoudan,指忍受清苦乏味的生活。
熬清守谈,áoqīngshǒután,aoqingshoutan,忍受清苦乏味的生活。
熬清受淡,áoqīngshòudàn,aoqingshoudan,指忍受清苦乏味的生活。
熬心费力,áoxīnfèilì,aoxinfeili,耗费心神和气力。
熬油费火,áoyóufèihuǒ,aoyoufeihuo,指耗费灯油。多指日夜忙碌。
聱牙佶屈,áoyájíqū,aoyajiqu,聱牙不顺口；佶屈曲折。指文章读起来不顺口。
聱牙戟口,áoyájǐkǒu,aoyajikou,形容文词艰涩，拗口难读。
聱牙诘曲,áoyájiéqū,aoyajiequ,聱牙不顺口；诘曲曲折。指文章读起来不顺口。
聱牙诘屈,áoyájiéqū,aoyajiequ,聱牙不顺口；诘屈曲折。形容文辞艰涩难读。
謷牙诘屈,áoyájiéqū,aoyajiequ,同诘屈聱牙”。謷，通聱”。诘屈同佶屈”，曲折，引申为不顺畅；謷牙读起来拗口、别扭。形容文字晦涩艰深，难懂难读。
鳌愤龙愁,áofènlóngchóu,aofenlongchou,如鼍愤怒，如龙忧愁。比喻乐曲的情调悲愤。
鳌里夺尊,áolǐduózūn,aoliduozun,犹言出类拔萃。
鳌鸣鳖应,áomíngbiēyīng,aomingbieying,比喻声气相通，互相感应。
鳌头独占,áotóudúzhàn,aotouduzhan,比喻占首位或第一名。
鳌掷鲸呿,áozhìjīngqù,aozhijingqu,比喻文辞气势磅礴，跌宕起伏。同鳌掷鲸吞”。
鳌掷鲸吞,áozhìjīngtūn,aozhijingtun,比喻文辞气势磅礴，跌宕起伏。亦作鳌掷鲸呿”。
傲不可长,àobùkězhǎng,aobukezhang,傲慢之心不可以滋长。
傲骨嶙嶙,àogǔlínlín,aogulinlin,傲骨指高傲不屈的性格。嶙嶙山崖突兀貌。比喻高傲不屈。
傲慢不逊,àomànbùxùn,aomanbuxun,逊谦逊。态度高傲自大，对人不讲谦让。
傲慢少礼,àomànshǎolǐ,aomanshaoli,态度傲慢，对人不讲礼节。
傲慢无礼,àomànwúlǐ,aomanwuli,态度傲慢，对人不讲礼节。
傲睨得志,àonìdézhì,aonidezhi,傲睨傲慢地斜眼看。得志愿望实现。形容因实现愿望而看不起一切的神情。
傲睨万物,àonìwànwù,aoniwanwu,睨斜视。斜着眼看一切事物。形容目空一切，什么都瞧不起。
傲睨一切,àonìyīqiè,aoniyiqie,睨斜视。斜着眼看一切事物。形容目空一切，什么都瞧不起。
傲睨一世,àonìyīshì,aoniyishi,睨斜视。高傲地旁观，对当代的一切都不看在眼里。形容傲慢自负，目空一切。
傲睨自若,àonìzìruò,aoniziruo,睨斜视；自若指满不在乎。形容自高自大、藐视一切的样子。
傲然挺立,àorántǐnglì,aorantingli,傲然坚强不屈的样子。挺立像山峰一样高高地耸立。形容坚强而不可动摇。
傲然屹立,àorányìlì,aoranyili,形容坚定，不可动摇地站立着。
傲世轻物,àoshìqīngwù,aoshiqingwu,傲世傲视当世；物他人或环境。鄙弃世俗，看不起别人。也指高傲自大。
傲霜斗雪,àoshuāngdòuxuě,aoshuangdouxue,傲视寒霜，抗击白雪。形容不畏严寒。比喻人身处逆境而不屈服。
傲头傲脑,àotóuàonǎo,aotouaonao,形容倔强、桀骜不驯的样子。
傲贤慢士,àoxiánmànshì,aoxianmanshi,贤有才德的人；士读书人和有才干的人。用傲慢的态度对待有德有才的人。
